feature_id,name,description,response_or_predictor,species,source_id,raw_fields,spatial_unit,temporal_aggregation,life_stage,lag_definition,units,transformation,missing_data_rule,value_status,leakage_risk,included_in_model,rationale
F-001,total_adults,Adult trap returns across hatchery and wild origins,response,both,WDFW-ISSAQUAH-RETURNS,adult_count; event; origin,Issaquah Hatchery,annual sum,adult return,return_year,count,none,never impute,derived_from_observed_events,low,yes,Primary outcome
F-002,wild_adults,Wild-origin adult trap returns,response,both,WDFW-ISSAQUAH-RETURNS,adult_count; event; origin,Issaquah Hatchery,annual sum,adult return,return_year,count,none,never impute,derived_from_observed_events,low,secondary,Origin-specific secondary outcome
F-003,hatchery_adults,Hatchery-origin adult trap returns,response,both,WDFW-ISSAQUAH-RETURNS,adult_count; event; origin,Issaquah Hatchery,annual sum,adult return,return_year,count,none,never impute,derived_from_observed_events,low,secondary,Origin-specific secondary outcome
F-004,adult_plus_jacks,Adults plus separately reported jacks,response,both,WDFW-ISSAQUAH-RETURNS,adult_count; jack_count,Issaquah Hatchery,annual sum,adult return,return_year,count,none,never impute,derived_from_observed_events,low,sensitivity,Jacks treatment sensitivity
F-010,flow_jul_sep_mean_cfs,Mean daily July-September discharge,predictor,both,USGS-12121600-DV-00060,value; date,USGS station 12121600,July-September mean,adult migration,same return year,ft3/s,optional fold-standardization,require 92 days,derived_from_observed_measurements,low,yes,Adult migration flow indicator
F-011,flow_jul_sep_min_cfs,Minimum daily July-September discharge,predictor,both,USGS-12121600-DV-00060,value; date,USGS station 12121600,July-September minimum,adult migration,same return year,ft3/s,optional fold-standardization,require 92 days,derived_from_observed_measurements,low,alternative,Alternative low-flow indicator; do not pair automatically with F-010
F-012,temp_jun_sep_mean_c,Mean June-September grab-sample temperature,predictor,both,KINGCOUNTY-ISSAQUAH-TEMP,value; collect_datetime; site,King County station 0631,June-September sample mean,adult migration,same return year,deg C,optional fold-standardization,minimum 4 samples,derived_from_observed_measurements,medium,yes,Sparse warm-season index rather than continuous temperature
F-020,cohort_flow_water_year_mean_cfs,Cohort-year mean discharge,predictor,both,USGS-12121600-DV-00060,value; date,USGS station 12121600,water-year mean,freshwater cohort,Coho -2; Chinook -4 primary,ft3/s,optional fold-standardization,no imputation,derived_from_observed_measurements,low,yes,Freshwater-condition proxy
F-021,cohort_swe_apr01_inches,Cohort-year April 1 SWE,predictor,both,NRCS-SNOTEL-788-WTEQ,Date; WTEQ,Stampede Pass SNOTEL 788,April 1 value,freshwater cohort,Coho -2; Chinook -4 primary,inches,optional fold-standardization,no imputation,derived_from_observed_measurements,low,yes,Regional snowpack proxy
F-022,cohort_temp_jun_sep_mean_c,Cohort-year warm-season temperature index,predictor,both,KINGCOUNTY-ISSAQUAH-TEMP,value; collect_datetime; site,King County station 0631,June-September sample mean,freshwater cohort,Coho -2; Chinook -4 primary,deg C,optional fold-standardization,minimum 4 samples,derived_from_observed_measurements,low,exploratory,Freshwater-temperature proxy
